,P4,Cz,F8,T7
791,-3.3367307,-1.3007439,0.6294099,3.1353269
792,1.3832743,0.5387701,-0.9861646,4.0100513
799,6.9979773,-1.9390635,-5.8191824,-1.7696587
800,3.0904748,-3.00643,-4.463764,-2.2052066
806,-3.5793447,-1.2691536,-4.2788415,-0.97109914
813,1.4487212,3.526529,-3.2537236,6.6741858
815,6.777768,5.79927,-4.145712,7.8078585
820,-4.352485,-7.0272098,-7.760444,-4.822728
821,-6.2917285,-10.34875,-4.884627,-6.8628488
822,-6.431383,-12.601335,0.54177475,-8.962543
823,-6.1383595,-13.081476,4.883773,-12.330675
824,-6.496399,-10.977995,6.0322227,-13.659449
826,-4.318035,-6.3306694,2.286244,-8.16866
829,3.2029207,-0.9008808,-4.456227,-0.11713127
830,1.8841667,-1.8830124,-6.405183,2.3922582
834,0.5037554,-8.326359,-7.835213,1.57933
838,-4.3906817,-9.244173,-5.7864804,0.27712023
839,-4.0122786,-8.319254,-6.555108,-0.6824658
840,-2.5844188,-5.356022,-7.834155,-3.8450942
846,0.19066378,4.1280313,-9.513917,-0.83973426
847,0.6057386,2.3507514,-10.274439,-0.3386006
850,-0.89654213,1.1034304,-7.8567967,3.761189
853,2.6541665,4.714242,-7.9231176,6.865099
860,-3.0560243,-4.293554,-8.696521,-3.5013237
864,-4.007289,-6.909976,-4.339429,-2.209866
869,-6.7062306,-0.9995837,-8.283363,-6.566932
871,6.7430425,10.6449,3.5000947,7.3746667
877,15.472958,15.035676,10.088455,11.4397135
878,13.493123,14.654388,4.862098,8.851745
886,-0.51617974,-0.39257136,8.01081,0.5430114
890,4.685861,5.6833673,4.7409606,7.4639015
892,4.385876,7.503533,2.4513705,5.3191257
898,4.765832,4.5326834,1.1255723,4.9739714
899,2.7612233,0.71360934,2.0303245,2.4295642
900,1.7343972,-2.1607485,3.1175158,-0.89893484
901,0.45631808,-2.4438033,1.2554787,-1.031566
908,-2.8545887,3.7185667,7.5573974,0.7446344
910,0.7377349,6.4620056,3.9454982,7.571586
913,0.94970024,2.4483469,-2.7871573,4.3415833
921,-4.7491236,-6.237622,0.5778336,-7.305068
922,-4.824272,-8.411026,2.2757833,-6.425642
925,-9.857174,-2.8623843,10.958276,-2.48359
926,-9.689942,-2.5856388,10.216663,-3.0238876
929,-9.726432,-3.2192404,7.3517976,-2.201841
939,10.645558,-1.0759878,-3.1392565,-5.2061625
942,5.4242296,0.6563401,-2.905441,-6.0278234
943,2.9461598,1.3263046,-1.1044304,-3.9666972
945,-4.447821,-0.4220865,4.1735125,-2.7685716
952,-10.459088,-8.679738,1.8065287,3.1891544
959,8.250487,5.718946,-1.980483,-2.8576248
963,7.0813193,4.779144,-3.1013267,0.6505147
965,2.1331327,4.486963,-0.6841715,0.04570681
973,-9.160591,-4.8913407,5.6785874,-0.6825636
975,-7.304076,-3.3943956,2.9985492,-3.5804138
976,-4.668483,-1.1701711,1.0212938,-3.8248692
980,7.188125,6.1525407,2.5423455,0.2981407
981,9.170755,7.6900306,-0.87670934,-1.1943938
982,8.767527,7.6155467,-6.347847,-3.5460122
985,3.6547203,5.5602374,-5.297945,-2.2629943
987,3.8666112,3.9516718,-5.1635127,0.43775392
988,4.3721023,5.2076955,-6.4495573,0.8234483
994,-4.8271284,-3.2429278,-4.9462247,1.9373872
999,-5.687243,-9.549794,10.772337,3.6275058
1000,-2.424277,-5.375661,8.324087,1.5245445
1001,0.45407578,-0.87587804,3.8164797,1.4879576
1006,9.678741,3.6346116,-0.95963895,-8.171171
1007,7.371818,2.543291,-3.9097,-7.066839
1011,-4.858896,-0.8600715,5.8038287,-0.3465017
1014,-5.169111,1.0045084,-1.4123152,-0.19608073
1015,-2.9794154,4.9378457,-2.3601105,2.6053872
1022,2.284866,5.196708,-5.863097,2.0901024
1028,1.2174962,-3.2468216,-4.3294888,3.8386326
1033,-4.1048098,-9.260283,-6.017974,-2.4638224
1034,-2.5201955,-9.134903,-4.9018946,-1.5383104
1036,-3.9791174,-7.6715403,-0.72504634,-4.5158534
1038,-5.681846,-4.7368174,2.5799031,-0.74470484
1042,-3.4839067,5.120606,-0.43955782,11.611841
1044,2.4232004,7.5543165,-3.4616866,8.311914
1049,7.392293,2.858917,-2.838231,1.7750398
1050,5.299156,4.5888166,-3.6474488,-0.38214314
1054,-2.3422477,-0.064204864,2.274891,0.96863157
1061,-10.678971,-8.716759,4.312608,1.6197515
