,TMIN,SNOW,TMAX,PRCP,SNWD
13306,63.0,0.0,80.0,9.0,0.0
13307,55.0,0.0,79.0,0.0,0.0
13308,53.0,0.0,82.0,0.0,0.0
13309,66.0,0.0,81.0,49.0,0.0
13310,59.0,0.0,82.0,15.0,0.0
13311,57.0,0.0,78.0,2.0,0.0
13312,57.0,0.0,80.0,0.0,0.0
13313,59.0,0.0,81.0,60.0,0.0
13315,52.0,0.0,83.0,0.0,0.0
13316,46.0,0.0,76.0,0.0,0.0
13317,60.0,0.0,76.0,0.0,0.0
13318,64.0,0.0,77.0,47.0,0.0
13319,51.0,0.0,82.0,0.0,0.0
13320,70.0,0.0,90.0,0.0,0.0
13321,65.0,0.0,88.0,45.0,0.0
13322,55.0,0.0,83.0,0.0,0.0
13323,45.0,0.0,74.0,0.0,0.0
13324,51.0,0.0,83.0,0.0,0.0
13325,69.0,0.0,89.0,0.0,0.0
13326,68.0,0.0,85.0,35.0,0.0
13327,58.0,0.0,84.0,0.0,0.0
13328,54.0,0.0,83.0,0.0,0.0
13329,53.0,0.0,74.0,61.0,0.0
13330,62.0,0.0,75.0,60.0,0.0
13331,50.0,0.0,73.0,2.0,0.0
13332,50.0,0.0,82.0,0.0,0.0
13333,64.0,0.0,88.0,0.0,0.0
13334,72.0,0.0,92.0,0.0,0.0
13335,71.0,0.0,91.0,0.0,0.0
13336,71.0,0.0,91.0,0.0,0.0
13337,68.0,0.0,87.0,109.0,0.0
13338,58.0,0.0,80.0,8.0,0.0
13339,60.0,0.0,79.0,39.0,0.0
13340,68.0,0.0,81.0,34.0,0.0
13341,70.0,0.0,85.0,13.0,0.0
13342,60.0,0.0,83.0,0.0,0.0
13343,58.0,0.0,87.0,0.0,0.0
13344,60.0,0.0,91.0,166.0,0.0
13345,73.0,0.0,93.0,10.0,0.0
13346,75.0,0.0,93.0,0.0,0.0
13347,73.0,0.0,92.0,0.0,0.0
13348,70.0,0.0,90.0,3.0,0.0
13349,63.0,0.0,85.0,0.0,0.0
13350,58.0,0.0,84.0,0.0,0.0
13351,59.0,0.0,86.0,0.0,0.0
13352,60.0,0.0,89.0,0.0,0.0
13353,66.0,0.0,90.0,0.0,0.0
13354,68.0,0.0,88.0,124.0,0.0
13355,62.0,0.0,85.0,0.0,0.0
13356,64.0,0.0,85.0,0.0,0.0
13357,59.0,0.0,85.0,0.0,0.0
13358,55.0,0.0,83.0,0.0,0.0
13359,59.0,0.0,85.0,0.0,0.0
13360,64.0,0.0,85.0,65.0,0.0
13361,58.0,0.0,83.0,0.0,0.0
13362,53.0,0.0,76.0,0.0,0.0
13363,52.0,0.0,79.0,0.0,0.0
13364,57.0,0.0,80.0,0.0,0.0
13365,62.0,0.0,81.0,0.0,0.0
13366,61.0,0.0,78.0,134.0,0.0
13367,64.0,0.0,80.0,0.0,0.0
13368,58.0,0.0,83.0,0.0,0.0
13369,58.0,0.0,81.0,0.0,0.0
13370,52.0,0.0,72.0,51.0,0.0
13371,45.0,0.0,75.0,0.0,0.0
13372,47.0,0.0,77.0,0.0,0.0
13373,54.0,0.0,81.0,0.0,0.0
13374,65.0,0.0,86.0,0.0,0.0
13375,67.0,0.0,92.0,108.0,0.0
13376,60.0,0.0,87.0,0.0,0.0
13377,61.0,0.0,83.0,2.0,0.0
13378,57.0,0.0,81.0,0.0,0.0
13379,59.0,0.0,83.0,0.0,0.0
13380,63.0,0.0,85.0,0.0,0.0
13381,59.0,0.0,81.0,0.0,0.0
13382,67.0,0.0,82.0,0.0,0.0
13383,51.0,0.0,77.0,0.0,0.0
13384,51.0,0.0,77.0,0.0,0.0
13385,62.0,0.0,76.0,0.0,0.0
13386,57.0,0.0,76.0,222.0,0.0
13387,41.0,0.0,64.0,0.0,0.0
13388,40.0,0.0,67.0,0.0,0.0
13389,45.0,0.0,72.0,0.0,0.0
13390,49.0,0.0,76.0,0.0,0.0
13391,50.0,0.0,79.0,0.0,0.0
13392,52.0,0.0,79.0,0.0,0.0
13393,54.0,0.0,81.0,0.0,0.0
13394,65.0,0.0,82.0,15.0,0.0
13395,55.0,0.0,74.0,94.0,0.0
13397,42.0,0.0,66.0,0.0,0.0
13398,39.0,0.0,67.0,0.0,0.0
13399,40.0,0.0,73.0,0.0,0.0
13400,54.0,0.0,82.0,0.0,0.0
13401,67.0,0.0,82.0,0.0,0.0
13402,59.0,0.0,69.0,201.0,0.0
13403,46.0,0.0,73.0,0.0,0.0
13404,49.0,0.0,73.0,0.0,0.0
13405,54.0,0.0,78.0,0.0,0.0
13406,42.0,0.0,77.0,0.0,0.0
13407,41.0,0.0,69.0,0.0,0.0
13408,54.0,0.0,70.0,27.0,0.0
13409,61.0,0.0,74.0,0.0,0.0
13410,62.0,0.0,76.0,3.0,0.0
13411,56.0,0.0,74.0,0.0,0.0
